"cata_cata","cata_llave","llave_prim1","llave_prim2","descripcion","decimales","porcentaje","agrupaciones"
"c_Pais","DNK","","","Dinamarca",0,0,"Uni�n Europea"
"c_Pais","DOM","","","Rep�blica Dominicana (la)",0,0,""
"c_Pais","DZA","","","Argelia",0,0,""
"c_Pais","ECU","","","Ecuador",0,0,""
"c_Pais","EGY","","","Egipto",0,0,""
"c_Pais","ERI","","","Eritrea",0,0,""
"c_Pais","ESH","","","Sahara Occidental",0,0,""
"c_Pais","ESP","","","Espa�a",0,0,"Uni�n Europea"
"c_Pais","EST","","","Estonia",0,0,"Uni�n Europea"
"c_Pais","ETH","","","Etiop�a",0,0,""
"c_Pais","FIN","","","Finlandia",0,0,"Uni�n Europea"
"c_Pais","FJI","","","Fiyi",0,0,""
"c_Pais","FLK","","","Islas Malvinas [Falkland] (las)",0,0,""
"c_Pais","FRA","","","Francia",0,0,"Uni�n Europea"
"c_Pais","FRO","","","Islas Feroe (las)",0,0,""
"c_Pais","FSM","","","Micronesia (los Estados Federados de)",0,0,""
"c_Pais","GAB","","","Gab�n",0,0,""
"c_Pais","GBR","","","Reino Unido (el)",0,0,"Uni�n Europea"
"c_Pais","GEO","","","Georgia",0,0,""
"c_Pais","GGY","","","Guernsey",0,0,""
"c_Pais","GHA","","","Ghana",0,0,""
"c_Pais","GIB","","","Gibraltar",0,0,""
